Plant,Family,Latin,genus,specific,phylomatsp,phylomat,Category,Dish,Type
juniper,Cupressaceae,Juniperus communis,Juniperus,communis,Juniperus_communis,cupressaceae/juniperus/Juniperus_communis,beverage,beverage,ingredient
coriander,Apiaceae,Coriandrum sativum,Coriandrum,sativum,Coriandrum_sativum,apiaceae/coriandrum/Coriandrum_sativum,beverage,beverage,ingredient
angelica,Apiaceae,Angelica archangelica,Angelica,archangelica,Angelica_archangelica,apiaceae/angelica/Angelica_archangelica,beverage,beverage,ingredient
orris root,Iridaceae,Iris pallida,Iris,pallida,Iris_pallida,iridaceae/iris/Iris_pallida,beverage,beverage,ingredient
grain of paradise,Zingiberaceae,Aframomum melegueta,Aframomum,melegueta,Aframomum_melegueta,zingiberaceae/aframomum/Aframomum_melegueta,beverage,beverage,ingredient
cubeb,Piperaceae,Piper cubeba,Piper,cubeba,Piper_cubeba,piperaceae/piper/Piper_cubeba,beverage,beverage,ingredient
almond,Rosaceae,Prunus dulcis,Prunus,dulcis,Prunus_dulcis,rosaceae/prunus/Prunus_dulcis,beverage,beverage,ingredient
liquorice,Fabaceae,Glycyrrhiza glabra,Glycyrrhiza,glabra,Glycyrrhiza_glabra,fabaceae/glycyrrhiza/Glycyrrhiza_glabra,beverage,beverage,ingredient
hops,Cannabaceae,Humulus lupulus,Humulus,lupulus,Humulus_lupulus,cannabaceae/humulus/humulus_lupulus,beverage,beverage,ingredient
barley,Poaceae,Hordeum vulgare,Hordeum,vulgare,Hordeum_vulgare,poaceae/hordeum/Hordeum_vulgare,beverage,beverage,ingredient
