"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @gypsumbotany: Coolest piece of swag I've ever gotten at a conference #Botany2017 #gypsumendemic https://t.co/Oz4rEjmNVV",FALSE,0,NA,2017-06-28 00:57:23,FALSE,NA,"879866280366362624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jacobs_sarahj",9,TRUE,FALSE,NA,NA
"RT @gypsumbotany: Coolest piece of swag I've ever gotten at a conference #Botany2017 #gypsumendemic https://t.co/Oz4rEjmNVV",FALSE,0,NA,2017-06-28 00:56:00,FALSE,NA,"879865934642462720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaribethLatvis",9,TRUE,FALSE,NA,NA
"RT @Lagomarsino_L: Hey #botany2017 and #evol2017: I'm looking for grad students for Fall 2018 for lab @LSU_BioSci! #botany #phylogeny #Neot…",FALSE,0,NA,2017-06-28 00:55:02,FALSE,NA,"879865691838480384",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ejrollinson",48,TRUE,FALSE,NA,NA
"RT @Lagomarsino_L: Hey #botany2017 and #evol2017: I'm looking for grad students for Fall 2018 for lab @LSU_BioSci! #botany #phylogeny #Neot…",FALSE,0,NA,2017-06-28 00:54:00,FALSE,NA,"879865432252993536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marxhannah",48,TRUE,FALSE,NA,NA
"RT @MartineBotany: .@jill_s_miller is a great botanist who y'all should follow. #iamabotanist #Botany2017",FALSE,0,NA,2017-06-28 00:44:05,FALSE,NA,"879862936646279168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lesbeckworth",4,TRUE,FALSE,NA,NA
".@jill_s_miller is a great botanist who y'all should follow. #iamabotanist #Botany2017",FALSE,9,NA,2017-06-28 00:42:52,FALSE,NA,"879862629979885569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartineBotany",4,FALSE,FALSE,NA,NA
"So excited to see my undergrad advisor @plantevomorph give @AmSocPlantTaxon president elect address! #Botany2017 https://t.co/VHX4RUYhoN",FALSE,21,NA,2017-06-28 00:42:48,FALSE,NA,"879862611688513537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lagomarsino_L",1,FALSE,FALSE,NA,NA
"RT @JChrisPires: @RobertLaport @ShellyGaynor @NEON_sci Congrats @ShellyGaynor on #Botany2017 award ! @AbrahamsRS @KenzieMabry @sau916",FALSE,0,NA,2017-06-28 00:41:52,FALSE,NA,"879862375779889152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BiswapriyaMisra",3,TRUE,FALSE,NA,NA
"RT @FriedmanJannice: .@plantmorpho This is morphospace: imagine characterizing every leaf that ever was and ever could be #Botany2017",FALSE,0,NA,2017-06-28 00:40:02,FALSE,NA,"879861916096544770",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",4,TRUE,FALSE,NA,NA
"Thanks to Dick Olmstead for giving it to me!! #Botany2017",FALSE,2,"gypsumbotany",2017-06-28 00:39:56,FALSE,"879851547693330432","879861891228631041","2724954280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gypsumbotany",0,FALSE,FALSE,NA,NA
"RT @Lagomarsino_L: Beautiful ""leaf litter"" art featured in @PlantMorpho Kaplan lecture. #botany2017 @i_am_joe_wan https://t.co/x5SCVn141I",FALSE,0,NA,2017-06-28 00:39:54,FALSE,NA,"879861884110856192",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",5,TRUE,FALSE,NA,NA
"Nic Diaz #Bucknell '17 wins Best #Undergrad poster in #Ecology at #Botany2017! #thisguy https://t.co/xI1AQbeWv1",FALSE,34,NA,2017-06-28 00:39:32,FALSE,NA,"879861790624161792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartineBotany",3,FALSE,FALSE,NA,NA
"RT @RobertLaport: Can't make #botany2017 this year, but hear my #NSF REU student @ShellyGaynor talk about #polyploidy &amp; community structure…",FALSE,0,NA,2017-06-28 00:37:54,FALSE,NA,"879861380706213889",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",4,TRUE,FALSE,NA,NA
"RT @impretzively: Touring BRIT and Fort Worth Bot Garden... Amazed with their 400 begonia species and many more hybrids! #Botany2017 https:…",FALSE,0,NA,2017-06-28 00:37:37,FALSE,NA,"879861307272343553",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",7,TRUE,FALSE,NA,NA
"@RobertLaport @ShellyGaynor @NEON_sci Congrats @ShellyGaynor on #Botany2017 award ! @AbrahamsRS @KenzieMabry @sau916",FALSE,7,"RobertLaport",2017-06-28 00:37:15,FALSE,"879860138965745665","879861217027735552","1039969446","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",3,FALSE,FALSE,NA,NA
"RT @RobertLaport: Congrats! @ShellyGaynor wins Ecology Best Undergrad presentation #Botany2017 @NEON_sci REU #polyploid community phylogene…",FALSE,0,NA,2017-06-28 00:35:16,FALSE,NA,"879860717855232000",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",7,TRUE,FALSE,NA,NA
"RT @erikaedw: Calling all #evol2017 and #botany2017 .... looking for great people to join us in our new digs at Yale https://t.co/xSFfxMVMgT",FALSE,0,NA,2017-06-28 00:34:40,FALSE,NA,"879860565350375424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","punkrocksnails",44,TRUE,FALSE,NA,NA
"RT @Botanical_: #BOTANY2017 plenary speaker Robin Wall Kimmerer was fantastic! See this new #PlantScienceBulletin article re her! https://t…",FALSE,0,NA,2017-06-28 00:34:34,FALSE,NA,"879860540784259072",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",5,TRUE,FALSE,NA,NA
"RT @KyraKrakos: This! Is one entree spilt between us! @FriedmanJannice #texasbig #overfedbotanists #Botany2017 https://t.co/WerN1ji50f",FALSE,0,NA,2017-06-28 00:34:21,FALSE,NA,"879860486484840448",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"RT @NordicJBotany: Nepal on student survey-do plants have DNA? Botany teachers definitely needed! #Botany2017",FALSE,0,NA,2017-06-28 00:34:09,FALSE,NA,"879860433951129601",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"RT @ejrollinson: @KyraKrakos Adam Rork: strong public interest and response to Titan Arim bloom @mobotgarden. &gt;1000 visitors! #Botany2017",FALSE,0,NA,2017-06-28 00:33:56,FALSE,NA,"879860380607979520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",2,TRUE,FALSE,NA,NA
"RT @KyraKrakos: Shout out to @mobotgarden for education in great talk by @ReneeClary #Botany2017 https://t.co/CpbGcqFRwN",FALSE,0,NA,2017-06-28 00:33:36,FALSE,NA,"879860295891537920",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"Congrats! @ShellyGaynor wins Ecology Best Undergrad presentation #Botany2017 @NEON_sci REU #polyploid community phylogenetics! #NSFfunded",FALSE,24,NA,2017-06-28 00:32:58,FALSE,NA,"879860138965745665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RobertLaport",7,FALSE,FALSE,NA,NA
"RT @ejrollinson: .@joeytrees13 speaking on ""please don't let my plant class go extinct"" - how do we get students into Botany? #Botany2017",FALSE,0,NA,2017-06-28 00:32:14,FALSE,NA,"879859954907099136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",3,TRUE,FALSE,NA,NA
"RT @tstou10: Great talk by @joeytrees13 re: combating perceived lack of relevance of botany at institutional level @ #Botany2017.",FALSE,0,NA,2017-06-28 00:32:09,FALSE,NA,"879859932882915328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"RT @bckroadsnomad: #Botany2017 is trending. I sincerely hope plants kill all the lawyers. They can.",FALSE,0,NA,2017-06-28 00:32:06,FALSE,NA,"879859920929046528",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"RT @MartineBotany: Alpine plants scoff at mountain valleys and migrate anyway .... by @IThaden in Cooley session soon  (10:45). #Botany2017",FALSE,0,NA,2017-06-28 00:31:44,FALSE,NA,"879859826616025088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",2,TRUE,FALSE,NA,NA
"RT @gypsumbotany: Very excited about ""Geology and Plant Life"" symposium at #Botany2017. Come learn about Kruckeberg &amp; weird plants on all k…",FALSE,0,NA,2017-06-28 00:31:40,FALSE,NA,"879859811621380096",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",6,TRUE,FALSE,NA,NA
"RT @KyraKrakos: ""Our best shooters"" shout out to female student botanists in Harold Keller tree canopy talk! #Botany2017 https://t.co/gj5Qv…",FALSE,0,NA,2017-06-28 00:31:09,FALSE,NA,"879859681560117248",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",2,TRUE,FALSE,NA,NA
"RT @IThaden: #Botany2017 is a great place to get involved in public policy! Come to our meeting on Wednesday! Bring a lunch! https://t.co/4…",FALSE,0,NA,2017-06-28 00:30:23,FALSE,NA,"879859487007416320",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",2,TRUE,FALSE,NA,NA
"RT @IThaden: #Botany2017 sunrise! Wakey, wakey! https://t.co/A7tPf8O8bi",FALSE,0,NA,2017-06-28 00:30:20,FALSE,NA,"879859474088865792",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"RT @IThaden: #Bucknell Burpee post docs! #Botany2017 brings us all together. @MartineBotany @jaecan808 @angelajmcd https://t.co/cSAYXDobnZ",FALSE,0,NA,2017-06-28 00:30:17,FALSE,NA,"879859463552774145",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
"RT @johnjschenk: 3-4 million year convergence in two clades of Draba oligosperma @IThaden #botany2017",FALSE,0,NA,2017-06-28 00:30:05,FALSE,NA,"879859413187567616",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChrisPires",1,TRUE,FALSE,NA,NA
