"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @itatiVCS: No forest community exists for more that 1500 years as shown by pollen analyses #ESA2017",FALSE,0,NA,2017-08-09 04:23:42,FALSE,NA,"895138494179356672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bhundey",1,TRUE,FALSE,NA,NA
"Lovely name tag artwork #ESA2017 #icebreakers https://t.co/zHphKaECac",FALSE,0,NA,2017-08-09 04:23:28,FALSE,NA,"895138435920404480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SK_French",0,FALSE,FALSE,NA,NA
"RT @BritishEcolSoc: All set up and raring to go at booth 905! Looking forward to meeting you all at #ESA2017 https://t.co/MLNnKTNOtc",FALSE,0,NA,2017-08-09 04:23:17,FALSE,NA,"895138389833285632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jennfirn",5,TRUE,FALSE,NA,NA
"RT @BritishEcolSoc: To coincide w/ #ESA2017, we've launched our 1st cross-society cross-journal virtual issue! https://t.co/pvq7fjXVzk @ESA…",FALSE,0,NA,2017-08-09 04:22:57,FALSE,NA,"895138304982634496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jennfirn",29,TRUE,FALSE,NA,NA
"RT @panemma: Amazing view flying into Portland last night for #ESA2017 Looking forward to a week of ecology with @FunEcology and @ESA_org h…",FALSE,0,NA,2017-08-09 04:22:13,FALSE,NA,"895138119854338048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jennfirn",4,TRUE,FALSE,NA,NA
"RT @NatureEcoEvo: Food for thought at #ESA2017: How sustainable is your conference? https://t.co/7zLSiIl761 https://t.co/G8AlEGzTCv",FALSE,0,NA,2017-08-09 04:18:26,FALSE,NA,"895137170155085824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","astorialis",42,TRUE,FALSE,NA,NA
"RT @Nate_J_Sanders: Several (yikes) generations of Sanders-Classen labs fold at #ESA2017 with @aimeeclassen https://t.co/fGv9TCOlIP",FALSE,0,NA,2017-08-09 04:16:42,FALSE,NA,"895136733485875201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Martin_A_Nunez",8,TRUE,FALSE,NA,NA
"RT @anjalikumar6: All these @500womensci at #ESA2017 throwing our some great ideas to make ESA more diverse, inclusive and equitable. Thank…",FALSE,0,NA,2017-08-09 04:15:03,FALSE,NA,"895136316337160192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JacquelynGill",8,TRUE,FALSE,NA,NA
"RT @anjalikumar6: All these @500womensci at #ESA2017 throwing our some great ideas to make ESA more diverse, inclusive and equitable. Thank…",FALSE,0,NA,2017-08-09 04:14:20,FALSE,NA,"895136137185959937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bjenquist",8,TRUE,FALSE,NA,NA
"RT @Aerin_J: Hey #ESA2017, consider acknowledging #Indigenous territories where you live, work, &amp; conference https://t.co/cb0iyTVpXV (North…",FALSE,0,NA,2017-08-09 04:13:27,FALSE,NA,"895135912979382272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AzurigenMCS",5,TRUE,FALSE,NA,NA
"RT @RiverGypsyAJ: Great thread for #jobs - both postdoc and faculty positions advertised at #ESA2017 https://t.co/FL4QMVV3NY",FALSE,0,NA,2017-08-09 04:13:24,FALSE,NA,"895135903429136384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JSchiebold",4,TRUE,FALSE,NA,NA
"Go to @SarahKnutie talk tomorrow! Hear about amphibians, microbiome and parasites <ed><U+00A0><U+00BD><ed><U+00B0><U+00B8> #esa2017 wed 11:10 https://t.co/cvr1IM3QHC",FALSE,2,NA,2017-08-09 04:13:09,FALSE,NA,"895135841017876480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohannaHarvey15",0,FALSE,FALSE,NA,NA
"Bagi Anda yang ingin mengunjungi acara tersebut silakan bisa datang langsung ke Grand Serpong Mall https://t.co/HCWeRXZvgX #ESA2017",FALSE,0,NA,2017-08-09 04:12:40,FALSE,NA,"895135719152263168",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","GSM_Serpong",0,FALSE,FALSE,NA,NA
"Ecological consequences of #polyploidy: my #ESA2017 talk Wed Aug 9, 2:50, B118-119 (#ClimateChange V), @rcronn1… https://t.co/cAHw3xUlPK",FALSE,0,NA,2017-08-09 04:12:06,TRUE,NA,"895135573995683840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NaWei_Dr",0,FALSE,FALSE,NA,NA
"RT @JacquelynGill: AT #ESA2017 this week, I think of Mary Oliver: ""To pay attention: this is our endless and proper work."" We pay attention…",FALSE,0,NA,2017-08-09 04:09:43,FALSE,NA,"895134973950173184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","resolvingdust",6,TRUE,FALSE,NA,NA
"That time a tweet by @Aerin_J became one of the best job boards on twitter #ESA2017 @MinionPostDoc @PostDocsForum https://t.co/RXBEbwUdhT",FALSE,2,NA,2017-08-09 04:08:51,FALSE,NA,"895134758304337921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KieranCx",0,FALSE,FALSE,NA,NA
"Functional cherry on the trait pie @StrateGoNetwork @benjaminblonder @bjenquist @AngelaMoles1 #ESA2017 https://t.co/DCW6PygSnD",FALSE,1,NA,2017-08-09 04:07:41,FALSE,NA,"895134461653811200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DRobcito",0,FALSE,FALSE,NA,NA
"RT @Aerin_J: @cricketcrocker Nope, nor at #ICCB2017. I have a slide about it for my #ESA2017 talk tomorrow. Ping @csee2018 @NACCB2018 https…",FALSE,0,NA,2017-08-09 04:07:13,FALSE,NA,"895134347329753088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","walcottcox",2,TRUE,FALSE,NA,NA
